period,scenario,subscenario,subperiod,bid_segment,thermal_bg_1 - bus_1,thermal_bg_2 - bus_1,thermal_bg_3 - bus_1,thermal_bg_4 - bus_1,thermal_bg_5 - bus_1,thermal_bg_6 - bus_1,thermal_bg_7 - bus_1,thermal_bg_8 - bus_1
3,1,1,1,111,0,0,0,0,0,0,0,0
3,1,1,1,112,0,0,0,0,0,0,0,0
3,1,1,1,113,0,0,0,0,0,0,0,0
3,1,1,1,114,0,0,0,0,0,0,0,0
3,1,1,1,115,0,0,0,0,0,0,0,0
3,1,1,1,116,0,0,0,0,0,0,0,0
3,1,1,1,117,0,0,0,0,0,0,0,0
3,1,1,1,118,0,0,0,0,0,0,0,0
3,1,1,1,119,0,0,0,0,0,0,0,0
3,1,1,1,120,0,0,0,0,0,0,0,0
3,1,1,1,121,0,0,0,0,0,0,0,0
3,1,1,2,1,0.005,0.005,0.005,0.01,0.01,0.01,0.005,0.005
3,1,1,2,2,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.02
3,1,1,2,3,1.4e-05,1.4e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,0,0
3,1,1,2,4,9e-06,9e-06,9e-06,1e-05,1e-05,1e-05,0,0
3,1,1,2,5,1.2e-05,1.2e-05,1.2e-05,0,0,0,0,0
3,1,1,2,6,9e-06,9e-06,9e-06,0,0,0,0,0
3,1,1,2,7,0,0,0,0,0,0,0,0
3,1,1,2,8,0,0,0,0,0,0,0,0
3,1,1,2,9,0,0,0,0,0,0,0,0
3,1,1,2,10,0,0,0,0,0,0,0,0
3,1,1,2,11,0,0,0,0,0,0,0,0
3,1,1,2,12,0,0,0,0,0,0,0,0
3,1,1,2,13,0,0,0,0,0,0,0,0
3,1,1,2,14,0,0,0,0,0,0,0,0
3,1,1,2,15,0,0,0,0,0,0,0,0
3,1,1,2,16,0,0,0,0,0,0,0,0
3,1,1,2,17,0,0,0,0,0,0,0,0
3,1,1,2,18,0,0,0,0,0,0,0,0
3,1,1,2,19,0,0,0,0,0,0,0,0
3,1,1,2,20,0,0,0,0,0,0,0,0
3,1,1,2,21,0,0,0,0,0,0,0,0
3,1,1,2,22,0,0,0,0,0,0,0,0
3,1,1,2,23,0,0,0,0,0,0,0,0
3,1,1,2,24,0,0,0,0,0,0,0,0
3,1,1,2,25,0,0,0,0,0,0,0,0
3,1,1,2,26,0,0,0,0,0,0,0,0
3,1,1,2,27,0,0,0,0,0,0,0,0
3,1,1,2,28,0,0,0,0,0,0,0,0
3,1,1,2,29,0,0,0,0,0,0,0,0
3,1,1,2,30,0,0,0,0,0,0,0,0
3,1,1,2,31,0,0,0,0,0,0,0,0
3,1,1,2,32,0,0,0,0,0,0,0,0
3,1,1,2,33,0,0,0,0,0,0,0,0
3,1,1,2,34,0,0,0,0,0,0,0,0
3,1,1,2,35,0,0,0,0,0,0,0,0
3,1,1,2,36,0,0,0,0,0,0,0,0
3,1,1,2,37,0,0,0,0,0,0,0,0
3,1,1,2,38,0,0,0,0,0,0,0,0
3,1,1,2,39,0,0,0,0,0,0,0,0
3,1,1,2,40,0,0,0,0,0,0,0,0
3,1,1,2,41,0,0,0,0,0,0,0,0
3,1,1,2,42,0,0,0,0,0,0,0,0
3,1,1,2,43,0,0,0,0,0,0,0,0
3,1,1,2,44,0,0,0,0,0,0,0,0
3,1,1,2,45,0,0,0,0,0,0,0,0
3,1,1,2,46,0,0,0,0,0,0,0,0
3,1,1,2,47,0,0,0,0,0,0,0,0
3,1,1,2,48,0,0,0,0,0,0,0,0
3,1,1,2,49,0,0,0,0,0,0,0,0
3,1,1,2,50,0,0,0,0,0,0,0,0
3,1,1,2,51,0,0,0,0,0,0,0,0
3,1,1,2,52,0,0,0,0,0,0,0,0
3,1,1,2,53,0,0,0,0,0,0,0,0
3,1,1,2,54,0,0,0,0,0,0,0,0
3,1,1,2,55,0,0,0,0,0,0,0,0
3,1,1,2,56,0,0,0,0,0,0,0,0
3,1,1,2,57,0,0,0,0,0,0,0,0
3,1,1,2,58,0,0,0,0,0,0,0,0
3,1,1,2,59,0,0,0,0,0,0,0,0
3,1,1,2,60,0,0,0,0,0,0,0,0
3,1,1,2,61,0,0,0,0,0,0,0,0
3,1,1,2,62,0,0,0,0,0,0,0,0
3,1,1,2,63,0,0,0,0,0,0,0,0
3,1,1,2,64,0,0,0,0,0,0,0,0
3,1,1,2,65,0,0,0,0,0,0,0,0
3,1,1,2,66,0,0,0,0,0,0,0,0
3,1,1,2,67,0,0,0,0,0,0,0,0
3,1,1,2,68,0,0,0,0,0,0,0,0
3,1,1,2,69,0,0,0,0,0,0,0,0
3,1,1,2,70,0,0,0,0,0,0,0,0
3,1,1,2,71,0,0,0,0,0,0,0,0
3,1,1,2,72,0,0,0,0,0,0,0,0
3,1,1,2,73,0,0,0,0,0,0,0,0
3,1,1,2,74,0,0,0,0,0,0,0,0
3,1,1,2,75,0,0,0,0,0,0,0,0
3,1,1,2,76,0,0,0,0,0,0,0,0
3,1,1,2,77,0,0,0,0,0,0,0,0
3,1,1,2,78,0,0,0,0,0,0,0,0
3,1,1,2,79,0,0,0,0,0,0,0,0
3,1,1,2,80,0,0,0,0,0,0,0,0
3,1,1,2,81,0,0,0,0,0,0,0,0
3,1,1,2,82,0,0,0,0,0,0,0,0
3,1,1,2,83,0,0,0,0,0,0,0,0
3,1,1,2,84,0,0,0,0,0,0,0,0
3,1,1,2,85,0,0,0,0,0,0,0,0
3,1,1,2,86,0,0,0,0,0,0,0,0
3,1,1,2,87,0,0,0,0,0,0,0,0
3,1,1,2,88,0,0,0,0,0,0,0,0
3,1,1,2,89,0,0,0,0,0,0,0,0
3,1,1,2,90,0,0,0,0,0,0,0,0
3,1,1,2,91,0,0,0,0,0,0,0,0
3,1,1,2,92,0,0,0,0,0,0,0,0
3,1,1,2,93,0,0,0,0,0,0,0,0
3,1,1,2,94,0,0,0,0,0,0,0,0
3,1,1,2,95,0,0,0,0,0,0,0,0
3,1,1,2,96,0,0,0,0,0,0,0,0
3,1,1,2,97,0,0,0,0,0,0,0,0
3,1,1,2,98,0,0,0,0,0,0,0,0
3,1,1,2,99,0,0,0,0,0,0,0,0
3,1,1,2,100,0,0,0,0,0,0,0,0
3,1,1,2,101,0,0,0,0,0,0,0,0
3,1,1,2,102,0,0,0,0,0,0,0,0
3,1,1,2,103,0,0,0,0,0,0,0,0
3,1,1,2,104,0,0,0,0,0,0,0,0
3,1,1,2,105,0,0,0,0,0,0,0,0
3,1,1,2,106,0,0,0,0,0,0,0,0
3,1,1,2,107,0,0,0,0,0,0,0,0
3,1,1,2,108,0,0,0,0,0,0,0,0
3,1,1,2,109,0,0,0,0,0,0,0,0
3,1,1,2,110,0,0,0,0,0,0,0,0
3,1,1,2,111,0,0,0,0,0,0,0,0
3,1,1,2,112,0,0,0,0,0,0,0,0
3,1,1,2,113,0,0,0,0,0,0,0,0
3,1,1,2,114,0,0,0,0,0,0,0,0
3,1,1,2,115,0,0,0,0,0,0,0,0
3,1,1,2,116,0,0,0,0,0,0,0,0
3,1,1,2,117,0,0,0,0,0,0,0,0
3,1,1,2,118,0,0,0,0,0,0,0,0
3,1,1,2,119,0,0,0,0,0,0,0,0
3,1,1,2,120,0,0,0,0,0,0,0,0
3,1,1,2,121,0,0,0,0,0,0,0,0
3,1,1,3,1,0.005,0.005,0.005,0.01,0.01,0.01,0.005,0.005
3,1,1,3,2,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.02
3,1,1,3,3,1.4e-05,1.4e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,0,0
3,1,1,3,4,9e-06,9e-06,9e-06,1e-05,1e-05,1e-05,0,0
3,1,1,3,5,1.2e-05,1.2e-05,1.2e-05,0,0,0,0,0
3,1,1,3,6,9e-06,9e-06,9e-06,0,0,0,0,0
3,1,1,3,7,0,0,0,0,0,0,0,0
3,1,1,3,8,0,0,0,0,0,0,0,0
3,1,1,3,9,0,0,0,0,0,0,0,0
3,1,1,3,10,0,0,0,0,0,0,0,0
3,1,1,3,11,0,0,0,0,0,0,0,0
3,1,1,3,12,0,0,0,0,0,0,0,0
3,1,1,3,13,0,0,0,0,0,0,0,0
3,1,1,3,14,0,0,0,0,0,0,0,0
3,1,1,3,15,0,0,0,0,0,0,0,0
3,1,1,3,16,0,0,0,0,0,0,0,0
3,1,1,3,17,0,0,0,0,0,0,0,0
3,1,1,3,18,0,0,0,0,0,0,0,0
3,1,1,3,19,0,0,0,0,0,0,0,0
3,1,1,3,20,0,0,0,0,0,0,0,0
3,1,1,3,21,0,0,0,0,0,0,0,0
3,1,1,3,22,0,0,0,0,0,0,0,0
3,1,1,3,23,0,0,0,0,0,0,0,0
3,1,1,3,24,0,0,0,0,0,0,0,0
3,1,1,3,25,0,0,0,0,0,0,0,0
3,1,1,3,26,0,0,0,0,0,0,0,0
3,1,1,3,27,0,0,0,0,0,0,0,0
3,1,1,3,28,0,0,0,0,0,0,0,0
3,1,1,3,29,0,0,0,0,0,0,0,0
3,1,1,3,30,0,0,0,0,0,0,0,0
3,1,1,3,31,0,0,0,0,0,0,0,0
3,1,1,3,32,0,0,0,0,0,0,0,0
3,1,1,3,33,0,0,0,0,0,0,0,0
3,1,1,3,34,0,0,0,0,0,0,0,0
3,1,1,3,35,0,0,0,0,0,0,0,0
3,1,1,3,36,0,0,0,0,0,0,0,0
3,1,1,3,37,0,0,0,0,0,0,0,0
3,1,1,3,38,0,0,0,0,0,0,0,0
3,1,1,3,39,0,0,0,0,0,0,0,0
3,1,1,3,40,0,0,0,0,0,0,0,0
3,1,1,3,41,0,0,0,0,0,0,0,0
3,1,1,3,42,0,0,0,0,0,0,0,0
3,1,1,3,43,0,0,0,0,0,0,0,0
3,1,1,3,44,0,0,0,0,0,0,0,0
3,1,1,3,45,0,0,0,0,0,0,0,0
3,1,1,3,46,0,0,0,0,0,0,0,0
3,1,1,3,47,0,0,0,0,0,0,0,0
3,1,1,3,48,0,0,0,0,0,0,0,0
3,1,1,3,49,0,0,0,0,0,0,0,0
3,1,1,3,50,0,0,0,0,0,0,0,0
3,1,1,3,51,0,0,0,0,0,0,0,0
3,1,1,3,52,0,0,0,0,0,0,0,0
3,1,1,3,53,0,0,0,0,0,0,0,0
3,1,1,3,54,0,0,0,0,0,0,0,0
3,1,1,3,55,0,0,0,0,0,0,0,0
3,1,1,3,56,0,0,0,0,0,0,0,0
3,1,1,3,57,0,0,0,0,0,0,0,0
3,1,1,3,58,0,0,0,0,0,0,0,0
3,1,1,3,59,0,0,0,0,0,0,0,0
3,1,1,3,60,0,0,0,0,0,0,0,0
3,1,1,3,61,0,0,0,0,0,0,0,0
3,1,1,3,62,0,0,0,0,0,0,0,0
3,1,1,3,63,0,0,0,0,0,0,0,0
3,1,1,3,64,0,0,0,0,0,0,0,0
3,1,1,3,65,0,0,0,0,0,0,0,0
3,1,1,3,66,0,0,0,0,0,0,0,0
3,1,1,3,67,0,0,0,0,0,0,0,0
3,1,1,3,68,0,0,0,0,0,0,0,0
3,1,1,3,69,0,0,0,0,0,0,0,0
3,1,1,3,70,0,0,0,0,0,0,0,0
3,1,1,3,71,0,0,0,0,0,0,0,0
3,1,1,3,72,0,0,0,0,0,0,0,0
3,1,1,3,73,0,0,0,0,0,0,0,0
3,1,1,3,74,0,0,0,0,0,0,0,0
3,1,1,3,75,0,0,0,0,0,0,0,0
3,1,1,3,76,0,0,0,0,0,0,0,0
3,1,1,3,77,0,0,0,0,0,0,0,0
3,1,1,3,78,0,0,0,0,0,0,0,0
3,1,1,3,79,0,0,0,0,0,0,0,0
3,1,1,3,80,0,0,0,0,0,0,0,0
3,1,1,3,81,0,0,0,0,0,0,0,0
3,1,1,3,82,0,0,0,0,0,0,0,0
3,1,1,3,83,0,0,0,0,0,0,0,0
3,1,1,3,84,0,0,0,0,0,0,0,0
3,1,1,3,85,0,0,0,0,0,0,0,0
3,1,1,3,86,0,0,0,0,0,0,0,0
3,1,1,3,87,0,0,0,0,0,0,0,0
3,1,1,3,88,0,0,0,0,0,0,0,0
3,1,1,3,89,0,0,0,0,0,0,0,0
3,1,1,3,90,0,0,0,0,0,0,0,0
3,1,1,3,91,0,0,0,0,0,0,0,0
3,1,1,3,92,0,0,0,0,0,0,0,0
3,1,1,3,93,0,0,0,0,0,0,0,0
3,1,1,3,94,0,0,0,0,0,0,0,0
3,1,1,3,95,0,0,0,0,0,0,0,0
3,1,1,3,96,0,0,0,0,0,0,0,0
3,1,1,3,97,0,0,0,0,0,0,0,0
3,1,1,3,98,0,0,0,0,0,0,0,0
3,1,1,3,99,0,0,0,0,0,0,0,0
3,1,1,3,100,0,0,0,0,0,0,0,0
3,1,1,3,101,0,0,0,0,0,0,0,0
3,1,1,3,102,0,0,0,0,0,0,0,0
3,1,1,3,103,0,0,0,0,0,0,0,0
3,1,1,3,104,0,0,0,0,0,0,0,0
3,1,1,3,105,0,0,0,0,0,0,0,0
3,1,1,3,106,0,0,0,0,0,0,0,0
3,1,1,3,107,0,0,0,0,0,0,0,0
3,1,1,3,108,0,0,0,0,0,0,0,0
3,1,1,3,109,0,0,0,0,0,0,0,0
3,1,1,3,110,0,0,0,0,0,0,0,0
3,1,1,3,111,0,0,0,0,0,0,0,0
3,1,1,3,112,0,0,0,0,0,0,0,0
3,1,1,3,113,0,0,0,0,0,0,0,0
3,1,1,3,114,0,0,0,0,0,0,0,0
3,1,1,3,115,0,0,0,0,0,0,0,0
3,1,1,3,116,0,0,0,0,0,0,0,0
3,1,1,3,117,0,0,0,0,0,0,0,0
3,1,1,3,118,0,0,0,0,0,0,0,0
3,1,1,3,119,0,0,0,0,0,0,0,0
3,1,1,3,120,0,0,0,0,0,0,0,0
3,1,1,3,121,0,0,0,0,0,0,0,0
3,1,1,4,1,0.005,0.005,0.005,0.01,0.01,0.01,0.005,0.005
3,1,1,4,2,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.02
3,1,1,4,3,1.4e-05,1.4e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,0,0
3,1,1,4,4,9e-06,9e-06,9e-06,1e-05,1e-05,1e-05,0,0
3,1,1,4,5,1.2e-05,1.2e-05,1.2e-05,0,0,0,0,0
3,1,1,4,6,9e-06,9e-06,9e-06,0,0,0,0,0
3,1,1,4,7,0,0,0,0,0,0,0,0
3,1,1,4,8,0,0,0,0,0,0,0,0
3,1,1,4,9,0,0,0,0,0,0,0,0
3,1,1,4,10,0,0,0,0,0,0,0,0
3,1,1,4,11,0,0,0,0,0,0,0,0
3,1,1,4,12,0,0,0,0,0,0,0,0
3,1,1,4,13,0,0,0,0,0,0,0,0
3,1,1,4,14,0,0,0,0,0,0,0,0
3,1,1,4,15,0,0,0,0,0,0,0,0
3,1,1,4,16,0,0,0,0,0,0,0,0
3,1,1,4,17,0,0,0,0,0,0,0,0
3,1,1,4,18,0,0,0,0,0,0,0,0
3,1,1,4,19,0,0,0,0,0,0,0,0
3,1,1,4,20,0,0,0,0,0,0,0,0
3,1,1,4,21,0,0,0,0,0,0,0,0
3,1,1,4,22,0,0,0,0,0,0,0,0
3,1,1,4,23,0,0,0,0,0,0,0,0
3,1,1,4,24,0,0,0,0,0,0,0,0
3,1,1,4,25,0,0,0,0,0,0,0,0
3,1,1,4,26,0,0,0,0,0,0,0,0
3,1,1,4,27,0,0,0,0,0,0,0,0
3,1,1,4,28,0,0,0,0,0,0,0,0
3,1,1,4,29,0,0,0,0,0,0,0,0
3,1,1,4,30,0,0,0,0,0,0,0,0
3,1,1,4,31,0,0,0,0,0,0,0,0
3,1,1,4,32,0,0,0,0,0,0,0,0
3,1,1,4,33,0,0,0,0,0,0,0,0
3,1,1,4,34,0,0,0,0,0,0,0,0
3,1,1,4,35,0,0,0,0,0,0,0,0
3,1,1,4,36,0,0,0,0,0,0,0,0
3,1,1,4,37,0,0,0,0,0,0,0,0
3,1,1,4,38,0,0,0,0,0,0,0,0
3,1,1,4,39,0,0,0,0,0,0,0,0
3,1,1,4,40,0,0,0,0,0,0,0,0
3,1,1,4,41,0,0,0,0,0,0,0,0
3,1,1,4,42,0,0,0,0,0,0,0,0
3,1,1,4,43,0,0,0,0,0,0,0,0
3,1,1,4,44,0,0,0,0,0,0,0,0
3,1,1,4,45,0,0,0,0,0,0,0,0
3,1,1,4,46,0,0,0,0,0,0,0,0
3,1,1,4,47,0,0,0,0,0,0,0,0
3,1,1,4,48,0,0,0,0,0,0,0,0
3,1,1,4,49,0,0,0,0,0,0,0,0
3,1,1,4,50,0,0,0,0,0,0,0,0
3,1,1,4,51,0,0,0,0,0,0,0,0
3,1,1,4,52,0,0,0,0,0,0,0,0
3,1,1,4,53,0,0,0,0,0,0,0,0
3,1,1,4,54,0,0,0,0,0,0,0,0
3,1,1,4,55,0,0,0,0,0,0,0,0
3,1,1,4,56,0,0,0,0,0,0,0,0
3,1,1,4,57,0,0,0,0,0,0,0,0
3,1,1,4,58,0,0,0,0,0,0,0,0
3,1,1,4,59,0,0,0,0,0,0,0,0
3,1,1,4,60,0,0,0,0,0,0,0,0
3,1,1,4,61,0,0,0,0,0,0,0,0
3,1,1,4,62,0,0,0,0,0,0,0,0
3,1,1,4,63,0,0,0,0,0,0,0,0
3,1,1,4,64,0,0,0,0,0,0,0,0
3,1,1,4,65,0,0,0,0,0,0,0,0
3,1,1,4,66,0,0,0,0,0,0,0,0
3,1,1,4,67,0,0,0,0,0,0,0,0
3,1,1,4,68,0,0,0,0,0,0,0,0
3,1,1,4,69,0,0,0,0,0,0,0,0
3,1,1,4,70,0,0,0,0,0,0,0,0
3,1,1,4,71,0,0,0,0,0,0,0,0
3,1,1,4,72,0,0,0,0,0,0,0,0
3,1,1,4,73,0,0,0,0,0,0,0,0
3,1,1,4,74,0,0,0,0,0,0,0,0
3,1,1,4,75,0,0,0,0,0,0,0,0
3,1,1,4,76,0,0,0,0,0,0,0,0
3,1,1,4,77,0,0,0,0,0,0,0,0
3,1,1,4,78,0,0,0,0,0,0,0,0
3,1,1,4,79,0,0,0,0,0,0,0,0
3,1,1,4,80,0,0,0,0,0,0,0,0
3,1,1,4,81,0,0,0,0,0,0,0,0
3,1,1,4,82,0,0,0,0,0,0,0,0
3,1,1,4,83,0,0,0,0,0,0,0,0
3,1,1,4,84,0,0,0,0,0,0,0,0
3,1,1,4,85,0,0,0,0,0,0,0,0
3,1,1,4,86,0,0,0,0,0,0,0,0
3,1,1,4,87,0,0,0,0,0,0,0,0
3,1,1,4,88,0,0,0,0,0,0,0,0
3,1,1,4,89,0,0,0,0,0,0,0,0
3,1,1,4,90,0,0,0,0,0,0,0,0
3,1,1,4,91,0,0,0,0,0,0,0,0
3,1,1,4,92,0,0,0,0,0,0,0,0
3,1,1,4,93,0,0,0,0,0,0,0,0
3,1,1,4,94,0,0,0,0,0,0,0,0
3,1,1,4,95,0,0,0,0,0,0,0,0
3,1,1,4,96,0,0,0,0,0,0,0,0
3,1,1,4,97,0,0,0,0,0,0,0,0
3,1,1,4,98,0,0,0,0,0,0,0,0
3,1,1,4,99,0,0,0,0,0,0,0,0
3,1,1,4,100,0,0,0,0,0,0,0,0
3,1,1,4,101,0,0,0,0,0,0,0,0
3,1,1,4,102,0,0,0,0,0,0,0,0
3,1,1,4,103,0,0,0,0,0,0,0,0
3,1,1,4,104,0,0,0,0,0,0,0,0
3,1,1,4,105,0,0,0,0,0,0,0,0
3,1,1,4,106,0,0,0,0,0,0,0,0
3,1,1,4,107,0,0,0,0,0,0,0,0
3,1,1,4,108,0,0,0,0,0,0,0,0
3,1,1,4,109,0,0,0,0,0,0,0,0
3,1,1,4,110,0,0,0,0,0,0,0,0
3,1,1,4,111,0,0,0,0,0,0,0,0
3,1,1,4,112,0,0,0,0,0,0,0,0
3,1,1,4,113,0,0,0,0,0,0,0,0
3,1,1,4,114,0,0,0,0,0,0,0,0
3,1,1,4,115,0,0,0,0,0,0,0,0
3,1,1,4,116,0,0,0,0,0,0,0,0
3,1,1,4,117,0,0,0,0,0,0,0,0
3,1,1,4,118,0,0,0,0,0,0,0,0
3,1,1,4,119,0,0,0,0,0,0,0,0
3,1,1,4,120,0,0,0,0,0,0,0,0
3,1,1,4,121,0,0,0,0,0,0,0,0
3,2,1,1,1,0.005,0.005,0.005,0.01,0.01,0.01,0.005,0.005
3,2,1,1,2,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.02
3,2,1,1,3,1.4e-05,1.4e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,0,0
3,2,1,1,4,9e-06,9e-06,9e-06,1e-05,1e-05,1e-05,0,0
3,2,1,1,5,1.2e-05,1.2e-05,1.2e-05,0,0,0,0,0
3,2,1,1,6,9e-06,9e-06,9e-06,0,0,0,0,0
3,2,1,1,7,0,0,0,0,0,0,0,0
3,2,1,1,8,0,0,0,0,0,0,0,0
3,2,1,1,9,0,0,0,0,0,0,0,0
3,2,1,1,10,0,0,0,0,0,0,0,0
3,2,1,1,11,0,0,0,0,0,0,0,0
3,2,1,1,12,0,0,0,0,0,0,0,0
3,2,1,1,13,0,0,0,0,0,0,0,0
3,2,1,1,14,0,0,0,0,0,0,0,0
3,2,1,1,15,0,0,0,0,0,0,0,0
3,2,1,1,16,0,0,0,0,0,0,0,0
3,2,1,1,17,0,0,0,0,0,0,0,0
3,2,1,1,18,0,0,0,0,0,0,0,0
3,2,1,1,19,0,0,0,0,0,0,0,0
3,2,1,1,20,0,0,0,0,0,0,0,0
3,2,1,1,21,0,0,0,0,0,0,0,0
3,2,1,1,22,0,0,0,0,0,0,0,0
3,2,1,1,23,0,0,0,0,0,0,0,0
3,2,1,1,24,0,0,0,0,0,0,0,0
3,2,1,1,25,0,0,0,0,0,0,0,0
3,2,1,1,26,0,0,0,0,0,0,0,0
3,2,1,1,27,0,0,0,0,0,0,0,0
3,2,1,1,28,0,0,0,0,0,0,0,0
3,2,1,1,29,0,0,0,0,0,0,0,0
3,2,1,1,30,0,0,0,0,0,0,0,0
3,2,1,1,31,0,0,0,0,0,0,0,0
3,2,1,1,32,0,0,0,0,0,0,0,0
3,2,1,1,33,0,0,0,0,0,0,0,0
3,2,1,1,34,0,0,0,0,0,0,0,0
3,2,1,1,35,0,0,0,0,0,0,0,0
3,2,1,1,36,0,0,0,0,0,0,0,0
3,2,1,1,37,0,0,0,0,0,0,0,0
3,2,1,1,38,0,0,0,0,0,0,0,0
3,2,1,1,39,0,0,0,0,0,0,0,0
3,2,1,1,40,0,0,0,0,0,0,0,0
3,2,1,1,41,0,0,0,0,0,0,0,0
3,2,1,1,42,0,0,0,0,0,0,0,0
3,2,1,1,43,0,0,0,0,0,0,0,0
3,2,1,1,44,0,0,0,0,0,0,0,0
3,2,1,1,45,0,0,0,0,0,0,0,0
3,2,1,1,46,0,0,0,0,0,0,0,0
3,2,1,1,47,0,0,0,0,0,0,0,0
3,2,1,1,48,0,0,0,0,0,0,0,0
3,2,1,1,49,0,0,0,0,0,0,0,0
3,2,1,1,50,0,0,0,0,0,0,0,0
3,2,1,1,51,0,0,0,0,0,0,0,0
3,2,1,1,52,0,0,0,0,0,0,0,0
3,2,1,1,53,0,0,0,0,0,0,0,0
3,2,1,1,54,0,0,0,0,0,0,0,0
3,2,1,1,55,0,0,0,0,0,0,0,0
3,2,1,1,56,0,0,0,0,0,0,0,0
3,2,1,1,57,0,0,0,0,0,0,0,0
3,2,1,1,58,0,0,0,0,0,0,0,0
3,2,1,1,59,0,0,0,0,0,0,0,0
3,2,1,1,60,0,0,0,0,0,0,0,0
3,2,1,1,61,0,0,0,0,0,0,0,0
3,2,1,1,62,0,0,0,0,0,0,0,0
3,2,1,1,63,0,0,0,0,0,0,0,0
3,2,1,1,64,0,0,0,0,0,0,0,0
3,2,1,1,65,0,0,0,0,0,0,0,0
3,2,1,1,66,0,0,0,0,0,0,0,0
3,2,1,1,67,0,0,0,0,0,0,0,0
3,2,1,1,68,0,0,0,0,0,0,0,0
3,2,1,1,69,0,0,0,0,0,0,0,0
3,2,1,1,70,0,0,0,0,0,0,0,0
3,2,1,1,71,0,0,0,0,0,0,0,0
3,2,1,1,72,0,0,0,0,0,0,0,0
3,2,1,1,73,0,0,0,0,0,0,0,0
3,2,1,1,74,0,0,0,0,0,0,0,0
3,2,1,1,75,0,0,0,0,0,0,0,0
3,2,1,1,76,0,0,0,0,0,0,0,0
3,2,1,1,77,0,0,0,0,0,0,0,0
3,2,1,1,78,0,0,0,0,0,0,0,0
3,2,1,1,79,0,0,0,0,0,0,0,0
3,2,1,1,80,0,0,0,0,0,0,0,0
3,2,1,1,81,0,0,0,0,0,0,0,0
3,2,1,1,82,0,0,0,0,0,0,0,0
3,2,1,1,83,0,0,0,0,0,0,0,0
3,2,1,1,84,0,0,0,0,0,0,0,0
3,2,1,1,85,0,0,0,0,0,0,0,0
3,2,1,1,86,0,0,0,0,0,0,0,0
3,2,1,1,87,0,0,0,0,0,0,0,0
3,2,1,1,88,0,0,0,0,0,0,0,0
3,2,1,1,89,0,0,0,0,0,0,0,0
3,2,1,1,90,0,0,0,0,0,0,0,0
3,2,1,1,91,0,0,0,0,0,0,0,0
3,2,1,1,92,0,0,0,0,0,0,0,0
3,2,1,1,93,0,0,0,0,0,0,0,0
3,2,1,1,94,0,0,0,0,0,0,0,0
3,2,1,1,95,0,0,0,0,0,0,0,0
3,2,1,1,96,0,0,0,0,0,0,0,0
3,2,1,1,97,0,0,0,0,0,0,0,0
3,2,1,1,98,0,0,0,0,0,0,0,0
3,2,1,1,99,0,0,0,0,0,0,0,0
3,2,1,1,100,0,0,0,0,0,0,0,0
3,2,1,1,101,0,0,0,0,0,0,0,0
3,2,1,1,102,0,0,0,0,0,0,0,0
3,2,1,1,103,0,0,0,0,0,0,0,0
3,2,1,1,104,0,0,0,0,0,0,0,0
3,2,1,1,105,0,0,0,0,0,0,0,0
3,2,1,1,106,0,0,0,0,0,0,0,0
3,2,1,1,107,0,0,0,0,0,0,0,0
3,2,1,1,108,0,0,0,0,0,0,0,0
3,2,1,1,109,0,0,0,0,0,0,0,0
3,2,1,1,110,0,0,0,0,0,0,0,0
3,2,1,1,111,0,0,0,0,0,0,0,0
3,2,1,1,112,0,0,0,0,0,0,0,0
3,2,1,1,113,0,0,0,0,0,0,0,0
3,2,1,1,114,0,0,0,0,0,0,0,0
3,2,1,1,115,0,0,0,0,0,0,0,0
3,2,1,1,116,0,0,0,0,0,0,0,0
3,2,1,1,117,0,0,0,0,0,0,0,0
3,2,1,1,118,0,0,0,0,0,0,0,0
3,2,1,1,119,0,0,0,0,0,0,0,0
3,2,1,1,120,0,0,0,0,0,0,0,0
3,2,1,1,121,0,0,0,0,0,0,0,0
3,2,1,2,1,0.005,0.005,0.005,0.01,0.01,0.01,0.005,0.005
3,2,1,2,2,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.02
3,2,1,2,3,1.4e-05,1.4e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,0,0
3,2,1,2,4,9e-06,9e-06,9e-06,1e-05,1e-05,1e-05,0,0
3,2,1,2,5,1.2e-05,1.2e-05,1.2e-05,0,0,0,0,0
3,2,1,2,6,9e-06,9e-06,9e-06,0,0,0,0,0
3,2,1,2,7,0,0,0,0,0,0,0,0
3,2,1,2,8,0,0,0,0,0,0,0,0
3,2,1,2,9,0,0,0,0,0,0,0,0
3,2,1,2,10,0,0,0,0,0,0,0,0
3,2,1,2,11,0,0,0,0,0,0,0,0
3,2,1,2,12,0,0,0,0,0,0,0,0
3,2,1,2,13,0,0,0,0,0,0,0,0
3,2,1,2,14,0,0,0,0,0,0,0,0
3,2,1,2,15,0,0,0,0,0,0,0,0
3,2,1,2,16,0,0,0,0,0,0,0,0
3,2,1,2,17,0,0,0,0,0,0,0,0
3,2,1,2,18,0,0,0,0,0,0,0,0
